Sex,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Men,<5yr,,,,-,-,-,-,-,-,-,-,-
Men,5-9,,,,-,-,-,-,-,-,-,-,-
Men,10-14,,,,-,-,-,-,-,-,-,-,-
Men,15-19,,,,-,-,-,-,-,-,-,-,-
Men,20-24,,,,-,-,-,-,-,-,-,-,-
Men,25-29,,,,-,-,-,-,-,-,-,-,-
Men,30-34,,,,-,-,-,-,-,-,-,-,-
Men,35-39,,,,-,-,-,-,-,-,-,-,-
Men,40-44,,,,-,-,-,-,-,-,-,-,-
Men,45-49,,,,-,-,-,-,-,-,-,-,-
Men,50-54,,,,-,-,-,2,-,-,1,-,-
Men,55-59,,,,-,3,-,2,1,2,1,2,2
Men,60-64,,,,1,3,3,2,5,4,10,3,10
Men,65-69,,,,2,3,7,12,10,9,14,18,21
Men,70-74,,,,4,24,22,31,45,25,58,48,61
Men,75-79,,,,15,40,63,89,89,97,114,101,175
Men,>=80,,,,13,52,68,133,197,214,269,297,722
Women,<5yr,-,-,-,-,-,-,-,-,-,-,-,-
Women,5-9,-,-,-,-,-,-,-,-,1,1,-,-
Women,10-14,1,1,-,-,-,-,-,-,1,-,-,-
Women,15-19,-,1,-,-,-,2,-,-,-,-,-,-
Women,20-24,1,-,-,-,1,-,-,-,1,-,2,2
Women,25-29,-,-,-,-,2,1,-,1,-,1,-,1
Women,30-34,2,1,1,1,3,2,-,3,-,3,1,3
Women,35-39,1,4,-,2,-,-,2,1,1,-,4,1
Women,40-44,5,6,4,2,7,2,2,2,1,2,2,3
Women,45-49,6,6,2,6,3,10,4,7,7,4,1,3
Women,50-54,4,6,6,9,5,8,9,5,7,4,9,8
Women,55-59,3,5,2,8,5,9,9,10,13,11,7,8
Women,60-64,8,9,9,7,13,13,9,11,13,19,10,13
Women,65-69,15,8,8,9,16,11,14,23,25,21,14,18
Women,70-74,5,4,8,8,11,16,11,9,14,18,17,13
Women,75-79,4,7,5,4,4,7,12,14,16,4,8,9
Women,>=80,1,2,1,2,2,4,2,3,8,8,7,10
