sex,age_band,year,count
Men,10-14,2012,0
Men,15-19,2012,0
Men,20-24,2012,0
Men,25-29,2012,0
Men,30-34,2012,0
Men,35-39,2012,0
Men,40-44,2012,0
Men,45-49,2012,1
Men,5-9,2012,0
Men,50-54,2012,0
Men,55-59,2012,0
Men,60-64,2012,1
Men,65-69,2012,1
Men,70-74,2012,1
Men,75-79,2012,1
Men,<5yr,2012,0
Men,>=80,2012,11
Women,10-14,2012,0
Women,15-19,2012,0
Women,20-24,2012,0
Women,25-29,2012,0
Women,30-34,2012,0
Women,35-39,2012,0
Women,40-44,2012,0
Women,45-49,2012,0
Women,5-9,2012,0
Women,50-54,2012,0
Women,55-59,2012,0
Women,60-64,2012,0
Women,65-69,2012,0
Women,70-74,2012,3
Women,75-79,2012,6
Women,<5yr,2012,0
Women,>=80,2012,5
Men,10-14,2013,0
Men,15-19,2013,0
Men,20-24,2013,0
Men,25-29,2013,0
Men,30-34,2013,0
Men,35-39,2013,0
Men,40-44,2013,1
Men,45-49,2013,0
Men,5-9,2013,0
Men,50-54,2013,0
Men,55-59,2013,0
Men,60-64,2013,2
Men,65-69,2013,4
Men,70-74,2013,2
Men,75-79,2013,3
Men,<5yr,2013,0
Men,>=80,2013,12
Women,10-14,2013,0
Women,15-19,2013,0
Women,20-24,2013,0
Women,25-29,2013,0
Women,30-34,2013,0
Women,35-39,2013,0
Women,40-44,2013,0
Women,45-49,2013,0
Women,5-9,2013,0
Women,50-54,2013,0
Women,55-59,2013,1
Women,60-64,2013,1
Women,65-69,2013,2
Women,70-74,2013,2
Women,75-79,2013,3
Women,<5yr,2013,0
Women,>=80,2013,8
Men,10-14,2014,0
Men,15-19,2014,0
Men,20-24,2014,0
Men,25-29,2014,0
Men,30-34,2014,0
Men,35-39,2014,0
Men,40-44,2014,0
Men,45-49,2014,0
Men,5-9,2014,0
Men,50-54,2014,0
Men,55-59,2014,2
Men,60-64,2014,2
Men,65-69,2014,1
Men,70-74,2014,4
Men,75-79,2014,7
Men,<5yr,2014,0
Men,>=80,2014,13
